Index,Fields,Values
1.1.1,search_query, oats
1.2.1,search_query, oats
1.3.1,search_query, oats
1.4.1,search_query, oats
1.5.1,search_query, oats
1.6.1,search_query, oats
1.7.1,search_query, oats
1.8.1,search_query, apple
1.9.1,search_query, apple
1.10.1,search_query, apple
1.11.1,search_query, apple
1.12.1,search_query, apple
1.13.1,search_query, apple
1.14.1,search_query, apple
1.15.1,search_query," oats, cranberries"
1.16.1,search_query," oats, cranberries"
1.17.1,search_query," oats, cranberries"
1.18.1,search_query," oats, cranberries"
1.19.1,search_query," oats, cranberries"
1.20.1,search_query," oats, cranberries"
1.21.1,search_query," oats, cranberries"
1.22.1,search_query," oats, cranberries"
1.23.1,search_query," oats, cranberries"
1.24.1,search_query," oats, cranberries"
1.1.2,id,635446
1.2.2,id,635446
1.3.2,id,635446
1.4.2,id,652111
1.5.2,id,652111
1.6.2,id,652111
1.7.2,id,652111
1.8.2,id,633547
1.9.2,id,633547
1.10.2,id,633547
1.11.2,id,662665
1.12.2,id,662665
1.13.2,id,662665
1.14.2,id,662665
1.15.2,id,640352
1.16.2,id,640352
1.17.2,id,640352
1.18.2,id,640352
1.19.2,id,640443
1.20.2,id,640443
1.21.2,id,640443
1.22.2,id,640443
1.23.2,id,640443
1.24.2,id,640443
1.1.3,missedIngredientCount,2
1.2.3,missedIngredientCount,2
1.3.3,missedIngredientCount,2
1.4.3,missedIngredientCount,3
1.5.3,missedIngredientCount,3
1.6.3,missedIngredientCount,3
1.7.3,missedIngredientCount,3
1.8.3,missedIngredientCount,2
1.9.3,missedIngredientCount,2
1.10.3,missedIngredientCount,2
1.11.3,missedIngredientCount,3
1.12.3,missedIngredientCount,3
1.13.3,missedIngredientCount,3
1.14.3,missedIngredientCount,3
1.15.3,missedIngredientCount,2
1.16.3,missedIngredientCount,2
1.17.3,missedIngredientCount,2
1.18.3,missedIngredientCount,2
1.19.3,missedIngredientCount,4
1.20.3,missedIngredientCount,4
1.21.3,missedIngredientCount,4
1.22.3,missedIngredientCount,4
1.23.3,missedIngredientCount,4
1.24.3,missedIngredientCount,4
1.1.4,type,missed_ingredient
1.2.4,type,missed_ingredient
1.3.4,type,used_ingredient
1.4.4,type,missed_ingredient
1.5.4,type,missed_ingredient
1.6.4,type,missed_ingredient
1.7.4,type,used_ingredient
1.8.4,type,missed_ingredient
1.9.4,type,missed_ingredient
1.10.4,type,used_ingredient
1.11.4,type,missed_ingredient
1.12.4,type,missed_ingredient
1.13.4,type,missed_ingredient
1.14.4,type,used_ingredient
1.15.4,type,missed_ingredient
1.16.4,type,missed_ingredient
1.17.4,type,used_ingredient
1.18.4,type,used_ingredient
1.19.4,type,missed_ingredient
1.20.4,type,missed_ingredient
1.21.4,type,missed_ingredient
1.22.4,type,missed_ingredient
1.23.4,type,used_ingredient
1.24.4,type,used_ingredient
1.1.5,aisle,"Nut butters, Jams, and Honey"
1.2.5,aisle,Spices and Seasonings
1.3.5,aisle,Cereal
1.4.5,aisle,Produce
1.5.5,aisle,"Milk, Eggs, Other Dairy"
1.6.5,aisle,Nuts
1.7.5,aisle,Cereal
1.8.5,aisle,Spices and Seasonings
1.9.5,aisle,Dried Fruits;Produce;Baking
1.10.5,aisle,Produce
1.11.5,aisle,"Milk, Eggs, Other Dairy"
1.12.5,aisle,Cereal
1.13.5,aisle,"Milk, Eggs, Other Dairy"
1.14.5,aisle,Produce
1.15.5,aisle,Produce
1.16.5,aisle,"Milk, Eggs, Other Dairy"
1.17.5,aisle,Produce
1.18.5,aisle,Cereal
1.19.5,aisle,Spices and Seasonings
1.20.5,aisle,Produce;Ethnic Foods;Spices and Seasonings
1.21.5,aisle,Baking
1.22.5,aisle,Spices and Seasonings
1.23.5,aisle,Produce
1.24.5,aisle,Cereal
1.1.6,usedIngredientCount,1
1.2.6,usedIngredientCount,1
1.3.6,usedIngredientCount,1
1.4.6,usedIngredientCount,1
1.5.6,usedIngredientCount,1
1.6.6,usedIngredientCount,1
1.7.6,usedIngredientCount,1
1.8.6,usedIngredientCount,1
1.9.6,usedIngredientCount,1
1.10.6,usedIngredientCount,1
1.11.6,usedIngredientCount,1
1.12.6,usedIngredientCount,1
1.13.6,usedIngredientCount,1
1.14.6,usedIngredientCount,1
1.15.6,usedIngredientCount,2
1.16.6,usedIngredientCount,2
1.17.6,usedIngredientCount,2
1.18.6,usedIngredientCount,2
1.19.6,usedIngredientCount,2
1.20.6,usedIngredientCount,2
1.21.6,usedIngredientCount,2
1.22.6,usedIngredientCount,2
1.23.6,usedIngredientCount,2
1.24.6,usedIngredientCount,2
