index,Fields,Values
recipe.1.1,search_query, oats
recipe.1.2,search_query, oats
recipe.1.3,search_query, oats
recipe.1.4,search_query, oats
recipe.1.5,search_query, oats
recipe.1.6,search_query, oats
recipe.1.7,search_query, oats
recipe.1.8,search_query, apple
recipe.1.9,search_query, apple
recipe.1.10,search_query, apple
recipe.1.11,search_query, apple
recipe.1.12,search_query, apple
recipe.1.13,search_query, apple
recipe.1.14,search_query, apple
recipe.1.15,search_query," oats, cranberries"
recipe.1.16,search_query," oats, cranberries"
recipe.1.17,search_query," oats, cranberries"
recipe.1.18,search_query," oats, cranberries"
recipe.1.19,search_query," oats, cranberries"
recipe.1.20,search_query," oats, cranberries"
recipe.1.21,search_query," oats, cranberries"
recipe.1.22,search_query," oats, cranberries"
recipe.1.23,search_query," oats, cranberries"
recipe.1.24,search_query," oats, cranberries"
recipe.2.1,id,635446
recipe.2.2,id,635446
recipe.2.3,id,635446
recipe.2.4,id,652111
recipe.2.5,id,652111
recipe.2.6,id,652111
recipe.2.7,id,652111
recipe.2.8,id,633547
recipe.2.9,id,633547
recipe.2.10,id,633547
recipe.2.11,id,662665
recipe.2.12,id,662665
recipe.2.13,id,662665
recipe.2.14,id,662665
recipe.2.15,id,640352
recipe.2.16,id,640352
recipe.2.17,id,640352
recipe.2.18,id,640352
recipe.2.19,id,640443
recipe.2.20,id,640443
recipe.2.21,id,640443
recipe.2.22,id,640443
recipe.2.23,id,640443
recipe.2.24,id,640443
recipe.3.1,missedIngredientCount,2
recipe.3.2,missedIngredientCount,2
recipe.3.3,missedIngredientCount,2
recipe.3.4,missedIngredientCount,3
recipe.3.5,missedIngredientCount,3
recipe.3.6,missedIngredientCount,3
recipe.3.7,missedIngredientCount,3
recipe.3.8,missedIngredientCount,2
recipe.3.9,missedIngredientCount,2
recipe.3.10,missedIngredientCount,2
recipe.3.11,missedIngredientCount,3
recipe.3.12,missedIngredientCount,3
recipe.3.13,missedIngredientCount,3
recipe.3.14,missedIngredientCount,3
recipe.3.15,missedIngredientCount,2
recipe.3.16,missedIngredientCount,2
