File Name,Title,Price,Rating,ReviewCount,Links,Category,OpeningClosing,Address,Link
1.json,N/A,N/A,N/A,N/A,N/A,Popular,,,
1.json,N/A,N/A,N/A,N/A,/aclk?sa=l&ai=DChcSEwiXvYfRzf73AhXAIK0GHWlzCEsYABALGgJwdg&sig=AOD64_0-fVsbrxn1W6GWVBzv25YDTqULXw&ctype=5&q=&ved=2ahUKEwjb8PrQzf73AhW5K0QIHcX1D9sQ8w4oAHoECAMQDw&adurl=,Sponsored,,,
1.json,N/A,N/A,N/A,N/A,/aclk?sa=l&ai=DChcSEwiXvYfRzf73AhXAIK0GHWlzCEsYABAJGgJwdg&sig=AOD64_2OzjRIJuAA-8c0g8ZVIr92IWKImQ&ctype=5&q=&ved=2ahUKEwjb8PrQzf73AhW5K0QIHcX1D9sQ8w4oAHoECAMQFg&adurl=,Sponsored,,,
1.json,N/A,N/A,N/A,N/A,/aclk?sa=l&ai=DChcSEwiXvYfRzf73AhXAIK0GHWlzCEsYABANGgJwdg&sig=AOD64_1m-kQDA8NiiU1jkJibVr0twCUXZw&ctype=5&q=&ved=2ahUKEwjb8PrQzf73AhW5K0QIHcX1D9sQ8w4oAHoECAMQHw&adurl=,Sponsored,,,
1.json,N/A,N/A,N/A,N/A,/aclk?sa=l&ai=DChcSEwiXvYfRzf73AhXAIK0GHWlzCEsYABAIGgJwdg&sig=AOD64_22zuwiZj6zCqvXogf5pjwbfk2joQ&ctype=5&q=&ved=2ahUKEwjb8PrQzf73AhW5K0QIHcX1D9sQ8w4oAHoECAMQJg&adurl=,Sponsored,,,
1.json,N/A,N/A,N/A,N/A,/aclk?sa=l&ai=DChcSEwiXvYfRzf73AhXAIK0GHWlzCEsYABAKGgJwdg&sig=AOD64_2TWYiGZfaDbHlSaXERrk1WQt7hkg&ctype=5&q=&ved=2ahUKEwjb8PrQzf73AhW5K0QIHcX1D9sQ8w4oAHoECAMQLw&adurl=,Sponsored,,,
1.json,N/A,N/A,N/A,N/A,/aclk?sa=l&ai=DChcSEwiXvYfRzf73AhXAIK0GHWlzCEsYABAOGgJwdg&sig=AOD64_144NfqUAve9eFIEI6XHgCYwjnE-w&ctype=5&q=&ved=2ahUKEwjb8PrQzf73AhW5K0QIHcX1D9sQ8w4oAHoECAMQNw&adurl=,Sponsored,,,
1.json,N/A,N/A,N/A,N/A,/aclk?sa=l&ai=DChcSEwiXvYfRzf73AhXAIK0GHWlzCEsYABAPGgJwdg&sig=AOD64_1NTyf4S0QqZOuvaqimEkQf-_Lf8Q&ctype=5&q=&ved=2ahUKEwjb8PrQzf73AhW5K0QIHcX1D9sQ8w4oAHoECAMQQA&adurl=,Sponsored,,,
1.json,N/A,N/A,N/A,N/A,/aclk?sa=l&ai=DChcSEwiXvYfRzf73AhXAIK0GHWlzCEsYABAMGgJwdg&sig=AOD64_1f4A61STzV6DPsHEAS3ma2rF37cw&ctype=5&q=&ved=2ahUKEwjb8PrQzf73AhW5K0QIHcX1D9sQ8w4oAHoECAMQRQ&adurl=,Sponsored,,,
1.json,N/A,N/A,N/A,N/A,/aclk?sa=l&ai=DChcSEwiXvYfRzf73AhXAIK0GHWlzCEsYABAYGgJwdg&sig=AOD64_0w2fp9InLyGxhRwxSDojXIAZm_sA&ctype=5&q=&ved=2ahUKEwjb8PrQzf73AhW5K0QIHcX1D9sQ8w4oAHoECAMQTA&adurl=,Sponsored,,,
1.json,N/A,N/A,N/A,N/A,/aclk?sa=l&ai=DChcSEwiXvYfRzf73AhXAIK0GHWlzCEsYABAVGgJwdg&sig=AOD64_228S30Avov_YM-PeHuHnit_zD6fg&ctype=5&q=&ved=2ahUKEwjb8PrQzf73AhW5K0QIHcX1D9sQ8w4oAHoECAMQUg&adurl=,Sponsored,,,
1.json,Air Filters - The Home Depot,N/A,Rated 3.6 out of 5,7.3K,https://www.homedepot.com/b/Heating-Venting-Cooling-Air-Filters/N-5yc1vZc4kw,Organic,,,
1.json,"Air Filters | All Sizes of HVAC, Furnace and AC Filters",N/A,N/A,N/A,https://filterbuy.com/,Organic,,,
1.json,Furnace Filters Buying Guide | Lowe's,N/A,N/A,N/A,https://www.lowes.com/n/buying-guide/choose-a-home-air-filter,Organic,,,
1.json,Best Air Filter Buying Guide - Consumer Reports,N/A,N/A,N/A,https://www.consumerreports.org/cro/air-filters/buying-guide/index.htm,Organic,,,
1.json,Home Air Filters 101: What to Consider Before Buying - Allstate,N/A,N/A,N/A,https://www.allstate.com/tr/home-insurance/choosing-home-air-filter.aspx,Organic,,,
1.json,Which Air Filter is Better for Your Home: An Electronic Air Purifier or ...,N/A,N/A,N/A,https://www.grossheating.com/electronic-air-purifier-or-standard-air-filter/?utm_source=rss&utm_medium=rss&utm_campaign=electronic-air-purifier-or-standard-air-filter,Organic,,,
1.json,Here's How Often You Should (Really) Change Your HVAC Air ...,N/A,N/A,N/A,https://gopaschal.com/heres-how-often-you-should-really-change-your-hvac-air-filter-and-what-happens-if-you-dont/,Organic,,,
1.json,air filters - Amazon.com,N/A,N/A,N/A,https://www.amazon.com/air-filters/s?k=air+filters,Organic,,,
1.json,N/A,,N/A,N/A,,SearchMapPlace,N/A,N/A,
1.json,N/A,,,,,RelatedSearchData,,,N/A
2.json,Filtrete 1-in Basic Pleated Air Filter,$10.60,Rated 4.4 out of 5,1k+,N/A,Popular,,,
2.json,Bestair Air Filter,$25.47,Rated 4.6 out of 5,63,N/A,Popular,,,
2.json,Frost King Window Air Conditioner Filter,$2.19,Rated 4.7 out of 5,120,N/A,Popular,,,
2.json,3M Dust Reduction Filter,$4.97,Rated 4.3 out of 5,680,N/A,Popular,,,
2.json,Filtrete Advanced Allergen Reduction Hvac Furnace Air Filter,$17.47,Rated 4.7 out of 5,2k+,N/A,Popular,,,
2.json,Trion Air Bear Filter MERV,$67.14,Rated 4.8 out of 5,296,N/A,Popular,,,
2.json,Honeywell Filter Replacement HEPA,$39.95,Rated 4.4 out of 5,905,https://www.gadgetreview.com/honeywell-true-hepa-air-filter-review,Popular,,,
2.json,Honeywell Air Filter,$29.98,Rated 4.5 out of 5,4k+,N/A,Popular,,,
2.json,Filtrete Allergen Defense Micro Particle Reduction HVAC Furnace Air Filter,$10.96,Rated 4.1 out of 5,447,N/A,Popular,,,
2.json,Holmes 360 True HEPA Filter,$29.99,Rated 5.0 out of 5,1,N/A,Popular,,,
2.json,Filtrete Allergen Filter,$19.99,Rated 4.7 out of 5,3k+,https://homeinspectorsecrets.com/hvac/furnace-filters/best-air-conditioner-filter-for-allergies/,Popular,,,
2.json,Holmes Filter,$16.38,Rated 4.7 out of 5,356,N/A,Popular,,,
2.json,"Filtrete Smart 16 x 25 x 1 inch Allergen, Bacteria & Virus HVAC Air and Furnace Filter, 1500 MPR, 1 Filter, Size: 16x25x1",$21.88,Rated 4.7 out of 5,691,"https://appmyhome.com/filtrete-smart-air-filter-review/#:~:text=Once%20we%20set%20up,look%20at%20the%20app.",Popular,,,
2.json,Filtrete Advanced Allergen Bacteria & Virus True Hepa Air Purifier Filter,$16.70,Rated 4.6 out of 5,185,N/A,Popular,,,
2.json,Filterbuy Air Filter Merv Pleated Replacement HVAC AC Furnace Filters,$54.82,Rated 4.4 out of 5,1k+,N/A,Popular,,,
2.json,Air-Care Electrostatic Air Filter,$49.95,Rated 4.0 out of 5,65,https://homerdiy.com/best-washable-air-filter/,Popular,,,
2.json,Flanders NaturalAire Natural Fiber Trimmable Air Filter 20 in. x 30 in. x 1,$6.88,Rated 4.4 out of 5,52,N/A,Popular,,,
2.json,Filtrete by 3M Allergen Reduction HEPA-Type Air Purifier Filter,$14.50,Rated 4.8 out of 5,95,N/A,Popular,,,
2.json,Filtrete 1-in Electrostatic Pleated Air Filter,$27.10,Rated 4.5 out of 5,279,N/A,Popular,,,
2.json,Holmes Air Filter,$29.49,Rated 4.7 out of 5,444,N/A,Popular,,,
2.json,Filtrete Air Cleaning Filter,$17.91,Rated 4.6 out of 5,306,"http://www.air-purifier-power.com/3mfiltreteultracleanfap02rsreview.html#:~:text=A%203-speed%20fan%20it,for%20the%20highest%20setting.",Popular,,,
2.json,Fram Fresh Breeze Cabin Air Filter Arm Hammer Baking Soda,$13.97,Rated 4.4 out of 5,1k+,"https://www.gadgetreview.com/fram-cf10134-cabin-air-filter-review#:~:text=Changing%20one%20is%20really,use%20of%20any%20tools.",Popular,,,
2.json,Aprilaire Replacement Air Filter,$62.39,Rated 4.9 out of 5,2k+,https://www.bestinedmonton.com/best-furnace-filters-edmonton/,Popular,,,
2.json,"Ventilaider Complete Air Vent Filter Set 20"" x 84"" Electrostatic Media With 126"" of Installation Tape 35+ Filters per Roll for HVAC",$21.99,Rated 4.0 out of 5,1,N/A,Popular,,,
