Index,Fields,Values
1.1.1.1,Popular_Title,N/A
1.1.1.2,Popular_Price,N/A
1.1.1.3,Popular_Rating,N/A
1.1.1.4,Popular_ReviewCount,N/A
1.1.1.5,Popular_Links,N/A
1.2.1.1,Sponsored_Title,N/A
1.2.1.2,Sponsored_Price,N/A
1.2.1.3,Sponsored_Rating,N/A
1.2.1.4,Sponsored_ReviewCount,N/A
1.2.1.5,Sponsored_Links,N/A
1.3.1.1,Organic_Title,Best air filters - Cleaner air in your home
1.3.2.1,Organic_Title,"Filtrete™ Air filter - Virus, Bacteria & Allergen"
1.3.3.1,Organic_Title,Air Filters - The Home Depot
1.3.4.1,Organic_Title,"Air Filters | All Sizes of HVAC, Furnace and AC Filters"
1.3.5.1,Organic_Title,Furnace Filters Buying Guide | Lowe's
1.3.6.1,Organic_Title,Best Air Filter Buying Guide - Consumer Reports
1.3.7.1,Organic_Title,Home Air Filters 101: What to Consider Before Buying - Allstate
1.3.8.1,Organic_Title,Which Air Filter is Better for Your Home: An Electronic Air Purifier or ...
1.3.9.1,Organic_Title,Here's How Often You Should (Really) Change Your HVAC Air ...
1.3.10.1,Organic_Title,air filters - Amazon.com
1.3.1.2,Organic_Price,N/A
1.3.2.2,Organic_Price,N/A
1.3.3.2,Organic_Price,N/A
1.3.4.2,Organic_Price,N/A
1.3.5.2,Organic_Price,N/A
1.3.6.2,Organic_Price,N/A
1.3.7.2,Organic_Price,N/A
1.3.8.2,Organic_Price,N/A
1.3.9.2,Organic_Price,N/A
1.3.10.2,Organic_Price,N/A
1.3.1.3,Organic_Rating,N/A
1.3.2.3,Organic_Rating,N/A
1.3.3.3,Organic_Rating,Rated 3.6 out of 5
1.3.4.3,Organic_Rating,N/A
1.3.5.3,Organic_Rating,N/A
1.3.6.3,Organic_Rating,N/A
1.3.7.3,Organic_Rating,N/A
1.3.8.3,Organic_Rating,N/A
1.3.9.3,Organic_Rating,N/A
1.3.10.3,Organic_Rating,N/A
1.3.1.4,Organic_ReviewCount,N/A
1.3.2.4,Organic_ReviewCount,N/A
1.3.3.4,Organic_ReviewCount,7.3K
1.3.4.4,Organic_ReviewCount,N/A
1.3.5.4,Organic_ReviewCount,N/A
1.3.6.4,Organic_ReviewCount,N/A
1.3.7.4,Organic_ReviewCount,N/A
1.3.8.4,Organic_ReviewCount,N/A
1.3.9.4,Organic_ReviewCount,N/A
1.3.10.4,Organic_ReviewCount,N/A
1.3.1.5,Organic_Links,https://molekule.com/
1.3.2.5,Organic_Links,https://www.filtrete.com/3M/en_US/filtrete/products/
1.3.3.5,Organic_Links,https://www.homedepot.com/b/Heating-Venting-Cooling-Air-Filters/N-5yc1vZc4kw
1.3.4.5,Organic_Links,https://filterbuy.com/
1.3.5.5,Organic_Links,https://www.lowes.com/n/buying-guide/choose-a-home-air-filter
1.3.6.5,Organic_Links,https://www.consumerreports.org/cro/air-filters/buying-guide/index.htm
1.3.7.5,Organic_Links,https://www.allstate.com/tr/home-insurance/choosing-home-air-filter.aspx
1.3.8.5,Organic_Links,https://www.grossheating.com/electronic-air-purifier-or-standard-air-filter/?utm_source=rss&utm_medium=rss&utm_campaign=electronic-air-purifier-or-standard-air-filter
1.3.9.5,Organic_Links,https://gopaschal.com/heres-how-often-you-should-really-change-your-hvac-air-filter-and-what-happens-if-you-dont/
1.3.10.5,Organic_Links,https://www.amazon.com/air-filters/s?k=air+filters
1.4.1.1,SearchMapPlace_Title,Walmart
1.4.2.1,SearchMapPlace_Title,Filter Services of Indiana
1.4.3.1,SearchMapPlace_Title,Indiana Filter Supply
1.4.1.2,SearchMapPlace_OpeningClosing,N/A
1.4.2.2,SearchMapPlace_OpeningClosing,Opens 7:30AM Fri
1.4.3.2,SearchMapPlace_OpeningClosing,Opens 7:30AM Fri
1.4.1.3,SearchMapPlace_Rating,Rated 3.6 out of 5
1.4.2.3,SearchMapPlace_Rating,Rated 5.0 out of 5
1.4.3.3,SearchMapPlace_Rating,Rated 3.3 out of 5
1.4.1.4,SearchMapPlace_ReviewCount,7.3K
1.4.2.4,SearchMapPlace_ReviewCount,17
1.4.3.4,SearchMapPlace_ReviewCount,7
1.4.1.5,SearchMapPlace_Address,N/A
1.4.2.5,SearchMapPlace_Address,Air filter supplier · 1550 Indiana Ave
1.4.3.5,SearchMapPlace_Address,Air filter supplier · 5719 Kopetsky Dr # G
1.5.1.1,RelatedSearchData_Title,N/A
1.5.1.2,RelatedSearchData_Link,N/A
2.1.1.1,Popular_Title,Filtrete 1-in Basic Pleated Air Filter
2.1.2.1,Popular_Title,Bestair Air Filter
2.1.3.1,Popular_Title,Frost King Window Air Conditioner Filter
2.1.4.1,Popular_Title,3M Dust Reduction Filter
2.1.5.1,Popular_Title,Filtrete Advanced Allergen Reduction Hvac Furnace Air Filter
2.1.6.1,Popular_Title,Trion Air Bear Filter MERV
2.1.7.1,Popular_Title,Honeywell Filter Replacement HEPA
2.1.8.1,Popular_Title,Honeywell Air Filter
2.1.9.1,Popular_Title,Filtrete Allergen Defense Micro Particle Reduction HVAC Furnace Air Filter
2.1.10.1,Popular_Title,Holmes 360 True HEPA Filter
2.1.11.1,Popular_Title,Filtrete Allergen Filter
2.1.12.1,Popular_Title,Holmes Filter
2.1.13.1,Popular_Title,"Filtrete Smart 16 x 25 x 1 inch Allergen, Bacteria & Virus HVAC Air and Furnace Filter, 1500 MPR, 1 Filter, Size: 16x25x1"
2.1.14.1,Popular_Title,Filtrete Advanced Allergen Bacteria & Virus True Hepa Air Purifier Filter
2.1.15.1,Popular_Title,Filterbuy Air Filter Merv Pleated Replacement HVAC AC Furnace Filters
2.1.16.1,Popular_Title,Air-Care Electrostatic Air Filter
2.1.17.1,Popular_Title,Flanders NaturalAire Natural Fiber Trimmable Air Filter 20 in. x 30 in. x 1
2.1.18.1,Popular_Title,Filtrete by 3M Allergen Reduction HEPA-Type Air Purifier Filter
2.1.19.1,Popular_Title,Filtrete 1-in Electrostatic Pleated Air Filter
2.1.20.1,Popular_Title,Holmes Air Filter
2.1.21.1,Popular_Title,Filtrete Air Cleaning Filter
2.1.22.1,Popular_Title,Fram Fresh Breeze Cabin Air Filter Arm Hammer Baking Soda
2.1.23.1,Popular_Title,Aprilaire Replacement Air Filter
2.1.24.1,Popular_Title,"Ventilaider Complete Air Vent Filter Set 20"" x 84"" Electrostatic Media With 126"" of Installation Tape 35+ Filters per Roll for HVAC"
2.1.25.1,Popular_Title,Fellowes True HEPA Filter for AeraMax Air
2.1.26.1,Popular_Title,GermGuardian HEPA Genuine Air Purifier Replacement Filter
2.1.27.1,Popular_Title,Bryant gapbbcar2025 Filter
2.1.28.1,Popular_Title,Pamlico Air 20 in. x 1 in. Fiberglass Air Filter FPR 1
2.1.29.1,Popular_Title,1 Allergen Plus Pleated Air Filter FPR 7
2.1.30.1,Popular_Title,Glasfloss MERV 10 Pleated AC Furnace Air Filters Actual
2.1.31.1,Popular_Title,Filters-NOW MERV Replacement Filter
2.1.32.1,Popular_Title,Glasfloss 21-1/2 x 1 Air Filters Merv 10
2.1.33.1,Popular_Title,FilterBuy Air Filter MERV
2.1.34.1,Popular_Title,Crisp Filters Air Filter Merv 8
2.1.35.1,Popular_Title,Pure Enrichment 3-in-1 True HEPA Replacement Filter for the PureZone Air Purifier
2.1.36.1,Popular_Title,Honeywell Air Purifier Filter FRF102B
2.1.37.1,Popular_Title,"Filtrete 1-in 1900 MPR Premium Allergen, Bacteria and Virus Electrostatic Pleated Air Filter"
2.1.38.1,Popular_Title,K&N HVAC Filter
2.1.39.1,Popular_Title,MERV 8 AC Furnace Air Filters
2.1.40.1,Popular_Title,Spiropure Merv 8 Pleated Air Filters
2.1.41.1,Popular_Title,Nordic Pure 20x25x5 Honeywell Replacement MERV 10 Air Filters Qty 2
2.1.42.1,Popular_Title,Filtrete FAPF-A2-4 True HEPA Air Purifier Filter
2.1.43.1,Popular_Title,Filtrete Allergen Air Filter
2.1.44.1,Popular_Title,Filtrete Dual-Action Micro Allergen Plus 2X Dust Defense Filter
2.1.45.1,Popular_Title,Filtrete 2-Pack 1000 MPR Micro Allergen Air Filter16-in x 25-in x 4-in
2.1.46.1,Popular_Title,Airx Merv Pleated Air Filter
2.1.47.1,Popular_Title,"Levoit Core 300 Air Purifier Replacement Filter, 3-in-1 Pet Allergy, Yellow"
2.1.48.1,Popular_Title,Veva 8000 Elite Pro Series Black Air Purifier
2.1.49.1,Popular_Title,Veva Premium Hepa Replacement Filter Including Carbon Pre Filters
2.1.50.1,Popular_Title,Levoit Air Purifier LV-H132 Replacement Filter
2.1.51.1,Popular_Title,Filter-Monster Replacement for Byant/ Carrier Infinity Air Purifier Cartridge
2.1.52.1,Popular_Title,"Dyson HEPA Filter,Replacement 968125-03"
2.1.53.1,Popular_Title,Honeywell Odor Reducing Pre-Filter B
2.1.54.1,Popular_Title,Bissell Air Pre Filter
2.1.55.1,Popular_Title,"20 x 20 x 1 Allergen Pleated MERV 12 - FPR 9 Air Filters (3-Pack), Size: 20x20x1"
2.1.56.1,Popular_Title,Filters-NOW Merv 8 Air Filter/Furnace Filters
2.1.57.1,Popular_Title,Air Handler Pleated Air Filter merv
2.1.58.1,Popular_Title,Web Filter Plus Air
2.1.59.1,Popular_Title,Lennox Filter MERV
2.1.60.1,Popular_Title,Homedics True Hepa Air Filter Replacement
2.1.61.1,Popular_Title,Honeywell Universal Carbon Pre-Filter HRF-AP1
2.1.62.1,Popular_Title,Aerostar Merv Pleated Air Filter
2.1.63.1,Popular_Title,"Filtrete 16-in W x 1550 MPR Allergen, Bacteria and Virus Electrostatic Pleated Air Filter"
2.1.64.1,Popular_Title,Lennox Healthy Climate 20x25x5 X6673 MERV 11 Filter
2.1.65.1,Popular_Title,Washable Air Filters
2.1.66.1,Popular_Title,1 Allergen Pleated FPR Air Filter
2.1.67.1,Popular_Title,Blueair Blue Pure Replacement Particle and Carbon Filter
2.1.68.1,Popular_Title,Blueair Blue Pure Auto Pre-filter
2.1.69.1,Popular_Title,Lennox Y6605 PureAir PCO3-16-16 Air Purifier MERV 16 Filter Replacement
2.1.70.1,Popular_Title,Hathaspace Certified Replacement Filters for HSP001 Smart True HEPA Air Purifier
2.1.71.1,Popular_Title,Honeywell Home Cf200d1625 Air Filter
2.1.72.1,Popular_Title,Levoit Air Purifier Lv-h133-rf Replacement Filter
2.1.73.1,Popular_Title,CFS Cut to Fit Carbon Pad Pre Filter Roll for Air Purifiers Furnace Filters Trash Cans and Air Conditioner Filters
