,depth,element,height,parentNode,text,width,x,xpath,y,attributes.content,attributes.name,attributes.data-iml,attributes.href,attributes.nonce,attributes.rel,attributes.type,attributes.data-ilt,attributes.data-oq,attributes.data-swh,attributes.data-ueh,attributes.jsaction,attributes.jscontroller,attributes.style,attributes.class,attributes.data-ved,attributes.aria-label,attributes.aria-hidden,attributes.role,attributes.tabindex,attributes.alt,attributes.data-atf,attributes.data-frt,attributes.src,attributes.action,attributes.autocomplete,attributes.id,attributes.value,attributes.autocapitalize,attributes.autocorrect,price,attributes.data-ogsr-up,attributes.data-ogsr-alt,attributes.data-ogsr-fb,attributes.aria-expanded,attributes.focusable,attributes.viewBox,attributes.target,attributes.data-align,attributes.data-class,attributes.data-parent-id,attributes.data-internal-precise,attributes.aria-pressed,attributes.data-url,attributes.eid,attributes.data-hveid,attributes.data-is-grid-offer,attributes.data-shntl,attributes.data-container-id,attributes.colspan,attributes.data-du,attributes.data-ei,attributes.data-ucsi
0,3,TITLE,0.0,HEAD,Vitabath Original Spring Green Mineral Bath Soak Salts 27 Ounces | Google Shopping,0.0,0.0,/html/head/title,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,META,0.0,HEAD,,0.0,0.0,/html/head/meta[1],0.0,,description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,META,0.0,HEAD,,0.0,0.0,/html/head/meta[2],0.0,origin,referrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,LINK,0.0,HEAD,,0.0,0.0,/html/head/link[1],0.0,,,1652158186811,//ssl.gstatic.com/productsearch/static/product_page/pp-sprite-15.css,LPleC-AueqAVlq0gQ9R7eA,stylesheet,text/css,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,LINK,0.0,HEAD,,0.0,0.0,/html/head/link[2],0.0,,,,//www.gstatic.com/gsx/shopping_favicon-32x32.png,,icon,image/png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,LINK,0.0,HEAD,,0.0,0.0,/html/head/link[3],0.0,,,,"https://www.gstatic.com/og/_/ss/k=og.qtm.MsWNnWVRA6I.L.F4.O/m=qcwid/excm=qaaw,qadd,qaid,qein,qhaw,qhbr,qhch,qhga,qhid,qhin,qhpr/d=1/ed=1/ct=zgms/rs=AA2YrTsSePMMPhc5HKyulsHTkoZdHhHGhg",LPleC-AueqAVlq0gQ9R7eA,stylesheet,text/css,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,DIV,89.0,BODY,ShoppingHomeYour saved itemsTracked productsOrdersCartMy ContributionsSettingsAbout Google ShoppingHelpPrivacy•Terms•Report a violationShoppingShoppingSearchSearch ShoppingSearch Google Shopping0Sign in,1035.0,0.0,/html/body/div[1],0.0,,,,,,,,QDaaingV3vHciE5bjtbPNEmjT-s,,,,keydown:VKssTb;rcuQ6b:eyofDf;Aghsf:AVsnlb;DkpM0b:d3sQLd;IQOavd:dFyQEf;XzZZPe:jI3wzf;f5hEHe:G0jgYd;uGoIkd:epUokb;qiCkJd:xdrgLc;,uHaJcf,height: 89px;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,DIV,89.0,DIV,ShoppingHomeYour saved itemsTracked productsOrdersCartMy ContributionsSettingsAbout Google ShoppingHelpPrivacy•Terms•Report a violationShoppingShoppingSearchSearch ShoppingSearch Google Shopping0Sign in,1035.0,0.0,/html/body/div[1]/div,0.0,,,,,,,,,,,,,,"position: fixed; box-shadow: rgba(0, 0, 0, 0) 0px 1px 7px 0px;",sh-h__header,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,DIV,48.0,DIV.sh-h__header,ShoppingHomeYour saved itemsTracked productsOrdersCartMy ContributionsSettingsAbout Google ShoppingHelpPrivacy•Terms•Report a violationShoppingShoppingSearchSearch ShoppingSearch Google Shopping0Sign in,1011.0,16.0,/html/body/div[1]/div/div,20.0,,,,,,,,,,,,,,,FyLmIf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6,DIV,40.0,DIV.FyLmIf,ShoppingHomeYour saved itemsTracked productsOrdersCartMy ContributionsSettingsAbout Google ShoppingHelpPrivacy•Terms•Report a violation,40.0,16.0,/html/body/div[1]/div/div/div[1],24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7,BUTTON,40.0,DIV,,40.0,16.0,/html/body/div[1]/div/div/div[1]/button,24.0,,,,,,,,,,,,trigger.wiMgp,,,JdXsAe tpFG9c,0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4Q9tMDCAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,8,DIV,40.0,BUTTON.JdXsAe.tpFG9c,,40.0,16.0,/html/body/div[1]/div/div/div[1]/button/div,24.0,,,,,,,,,,,,,,,LqM5Fb sh-hm__menu-icon,,Shopping main menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7,DIV,0.0,DIV,ShoppingHomeYour saved itemsTracked productsOrdersCartMy ContributionsSettingsAbout Google ShoppingHelpPrivacy•Terms•Report a violation,0.0,0.0,/html/body/div[1]/div/div/div[1]/div,0.0,,,,,,,,,,,,,,,sh-hm__shadow-container,0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4Q-NMDCAI,Navigation menu,true,container,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8,DIV,0.0,DIV.sh-hm__shadow-container,ShoppingHomeYour saved itemsTracked productsOrdersCartMy ContributionsSettingsAbout Google ShoppingHelpPrivacy•Terms•Report a violation,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div,0.0,,,,,,,,,,,,,,,Z8Diy sh-hm__drawer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9,DIV,0.0,DIV.Z8Diy.sh-hm__drawer,ShoppingHomeYour saved itemsTracked productsOrdersCartMy ContributionsSettingsAbout Google ShoppingHelp,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1],0.0,,,,,,,,,,,,,,,lC3Nyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
