,0,1
0,Sold by,"PC Fallon Co.Trusted storeWhat makes this a trusted store?This store offers a combination of fast shipping, on-time deliveries, and easy returns, among other services.·4.9/54.9 out of 5 stars store rating(1.6K)"
1,Sold by,Walmart - Euro Pharm
2,Sold by,eBay - pharmacy1231
3,Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
4,Details & special offers,Free delivery
5,Details & special offers,"Free delivery by Wed, May 18"
6,Item price,LOW PRICE$18.99
7,Item price,$21.99
8,Item price,$20.00
9,Total price,$25.94
10,Total price,$23.31
11,Total price,$21.20
