Index,Fields,Values
13.1.1,Sold by,PC Fallon Co.
13.2.1,Sold by,eCrater - xpertsedge
13.3.1,Sold by,eBay - 433433
13.4.1,Sold by,VereTreasure Supermarket
13.5.1,Sold by,truegether.com/user/433433.html
13.1.2,Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
13.2.2,Details & special offers,Free delivery
13.3.2,Details & special offers,"Free delivery by Wed, May 18"
13.4.2,Details & special offers,"Free delivery by Mon, May 16Free 30-day returns"
13.5.2,Details & special offers,Free delivery
13.1.3,Item price,LOW PRICE$8.99
13.2.3,Item price,$13.99
13.3.3,Item price,$16.99
13.4.3,Item price,$20.51
13.5.3,Item price,$16.65
13.1.4,Total price,$15.94
13.2.4,Total price,$13.99
13.3.4,Total price,$18.01
13.4.4,Total price,$20.51
13.5.4,Total price,$16.65
