index,Fields,Values
7.1.1,Sold by,eBay5 more offersHide offers
7.1.2,Sold by,truegether.com/user/433433.html
7.1.3,Sold by,Walmart - Redi-Fest
7.1.4,Sold by,Bonanza - Xperts-Bonanza Mall
7.1.5,Sold by,eCrater - xpertsedge
7.1.6,Sold by,Zabiva.com
7.1.7,Sold by,myBitti.com
7.2.1,Details & special offers,$5.84 delivery
7.2.2,Details & special offers,Free delivery
7.2.3,Details & special offers,Free delivery
7.2.4,Details & special offers,Free delivery
7.2.5,Details & special offers,Free delivery
7.2.6,Details & special offers,Free deliveryApply SAVE22
7.2.7,Details & special offers,"Free delivery by Tue, May 17"
7.3.1,Item price,LOW PRICE$14.00
7.3.2,Item price,$19.59
7.3.3,Item price,$24.99
7.3.4,Item price,$19.99
7.3.5,Item price,$19.99
7.3.6,Item price,5% OFF$20.56
7.3.7,Item price,$23.49
7.4.1,Total price,$21.03
7.4.2,Total price,$19.59
7.4.3,Total price,$26.49
7.4.4,Total price,$21.19
7.4.5,Total price,$19.99
7.4.6,Total price,$21.79
7.4.7,Total price,$24.90
