File Name,Sold by,Details & special offers,Item price,Total price
80.json,Ulta Beauty,434.0 mi · In stock at Mount LaurelToday: 10:00 AM - 8:00 PM,$8.99,$8.99+Tax
80.json,Walgreens.com,$5.99 deliveryFree 30-day returns,$8.99,$15.88
80.json,PC Fallon Co.,"Delivery by Wed, May 25Spend $89 for free delivery",$9.95,$16.90
80.json,Vitacost.com,Spend $49 for free delivery60-day returns,$9.99,$16.94
80.json,Bealls Florida,Delivery date & cost shown at checkout,LOW PRICE$7.19$8.99,$7.62+Shipping
80.json,ihealthee,Free delivery,$14.21,$15.06
80.json,Zabiva.com,Free deliveryApply SAVE22,5% OFF$20.23,$21.44
80.json,Walmart,Free delivery,$31.92,$33.84
80.json,eBay,"Free delivery by Wed, May 18",$23.99,$25.43
80.json,truegether.com/user/433433.html,Free delivery,$23.51,$23.51
80.json,iBeautyCity.com,"Free delivery by Sun, May 22",$39.18,$39.18
80.json,Bonanza - Xperts-Bonanza Mall,Free delivery,$23.99,$25.43
80.json,ibeautistore,"Free delivery by Sun, May 22",$31.28,$31.28
