index,Fields,Values
10.1.1,Sold by,"PC Fallon Co.Trusted storeWhat makes this a trusted store?This store offers a combination of fast shipping, on-time deliveries, and easy returns, among other services.·4.9/54.9 out of 5 stars store rating(1.6K)"
10.1.2,Sold by,Walmart - Euro Pharm
10.1.3,Sold by,eBay - pharmacy1231
10.2.1,Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
10.2.2,Details & special offers,Free delivery
10.2.3,Details & special offers,"Free delivery by Wed, May 18"
10.3.1,Item price,LOW PRICE$18.99
10.3.2,Item price,$21.99
10.3.3,Item price,$20.00
10.4.1,Total price,$25.94
10.4.2,Total price,$23.31
10.4.3,Total price,$21.20
11.1.1,Sold by,Vitabath4.9/54.9 out of 5 stars store rating(392 store reviews)
11.1.2,Sold by,"PC Fallon Co.Trusted storeWhat makes this a trusted store?This store offers a combination of fast shipping, on-time deliveries, and easy returns, among other services.·4.9/54.9 out of 5 stars store rating(1.6K)"
11.1.3,Sold by,Walmart1 more offerHide offers
11.1.4,Sold by,eBay1 more offerHide offers
11.1.5,Sold by,truegether.com/user/433433.html
11.1.6,Sold by,Bonanza - Xperts-Bonanza Mall
11.1.7,Sold by,OliveTips.com
11.2.1,Details & special offers,Spend $65 for free delivery
11.2.2,Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
11.2.3,Details & special offers,Free delivery
11.2.4,Details & special offers,$5.50 delivery
11.2.5,Details & special offers,Free delivery
11.2.6,Details & special offers,Free delivery
11.2.7,Details & special offers,"Free delivery by Mon, May 23"
11.3.1,Item price,LOW PRICE$9.25
11.3.2,Item price,LOW PRICE$8.99
11.3.3,Item price,$18.24
11.3.4,Item price,$14.80
11.3.5,Item price,$16.65
11.3.6,Item price,$16.99
11.3.7,Item price,$27.83
11.4.1,Total price,$19.20
11.4.2,Total price,$15.94
11.4.3,Total price,$19.33
11.4.4,Total price,$21.19
11.4.5,Total price,$16.65
11.4.6,Total price,$18.01
11.4.7,Total price,$27.83
12.1.1,Sold by,"PC Fallon Co.Trusted storeWhat makes this a trusted store?This store offers a combination of fast shipping, on-time deliveries, and easy returns, among other services.·4.9/54.9 out of 5 stars store rating(1.6K)"
12.1.2,Sold by,Walmart - Euro Pharm
12.1.3,Sold by,eBay3 more offersHide offers
12.1.4,Sold by,ihealthee
12.2.1,Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
12.2.2,Details & special offers,Free delivery
12.2.3,Details & special offers,$1.89 delivery
12.2.4,Details & special offers,Free delivery
12.3.1,Item price,"GREAT PICKThis product and store are highly rated, and the price is competitive.$28.05"
12.3.2,Item price,$33.00
12.3.3,Item price,$31.99
12.3.4,Item price,$46.39
12.4.1,Total price,$36.00
12.4.2,Total price,$34.98
12.4.3,Total price,$35.80
12.4.4,Total price,$49.17
13.1.1,Sold by,Vitabath4.9/54.9 out of 5 stars store rating(392 store reviews)
13.1.2,Sold by,Walmart - Euro Pharm
