Index,Fields,Values
25.1.1,Sold by,Ulta Beauty
25.2.1,Sold by,Walgreens.com
25.3.1,Sold by,PC Fallon Co.
25.4.1,Sold by,Vitacost.com
25.5.1,Sold by,Bealls Florida
25.6.1,Sold by,ihealthee
25.7.1,Sold by,Zabiva.com
25.8.1,Sold by,Walmart
25.9.1,Sold by,eBay
25.10.1,Sold by,truegether.com/user/433433.html
25.11.1,Sold by,iBeautyCity.com
25.12.1,Sold by,Bonanza - Xperts-Bonanza Mall
25.13.1,Sold by,ibeautistore
25.1.2,Details & special offers,434.0 mi · In stock at Mount LaurelToday: 10:00 AM - 8:00 PM
25.2.2,Details & special offers,$5.99 deliveryFree 30-day returns
25.3.2,Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
25.4.2,Details & special offers,Spend $49 for free delivery60-day returns
25.5.2,Details & special offers,Delivery date & cost shown at checkout
25.6.2,Details & special offers,Free delivery
25.7.2,Details & special offers,Free deliveryApply SAVE22
25.8.2,Details & special offers,Free delivery
25.9.2,Details & special offers,"Free delivery by Wed, May 18"
25.10.2,Details & special offers,Free delivery
25.11.2,Details & special offers,"Free delivery by Sun, May 22"
25.12.2,Details & special offers,Free delivery
25.13.2,Details & special offers,"Free delivery by Sun, May 22"
25.1.3,Item price,$8.99
25.2.3,Item price,$8.99
25.3.3,Item price,$9.95
25.4.3,Item price,$9.99
25.5.3,Item price,LOW PRICE$7.19$8.99
25.6.3,Item price,$14.21
25.7.3,Item price,5% OFF$20.23
25.8.3,Item price,$31.92
25.9.3,Item price,$23.99
25.10.3,Item price,$23.51
25.11.3,Item price,$39.18
25.12.3,Item price,$23.99
25.13.3,Item price,$31.28
25.1.4,Total price,$8.99+Tax
25.2.4,Total price,$15.88
25.3.4,Total price,$16.90
25.4.4,Total price,$16.94
25.5.4,Total price,$7.62+Shipping
25.6.4,Total price,$15.06
25.7.4,Total price,$21.44
25.8.4,Total price,$33.84
25.9.4,Total price,$25.43
25.10.4,Total price,$23.51
25.11.4,Total price,$39.18
25.12.4,Total price,$25.43
25.13.4,Total price,$31.28
