File Name,Sold by,Details & special offers,Item price,Total price
85.json,Vitabath,Spend $65 for free delivery,LOW PRICE$9.25,$19.20
85.json,Walgreens.com,$5.99 deliveryFree 30-day returns,LOW PRICE$8.99,$15.88
85.json,PC Fallon Co.,"Delivery by Wed, May 25Spend $89 for free delivery",LOW PRICE$8.99,$15.94
85.json,Vitacost.com,Spend $49 for free delivery60-day returns,LOW PRICE$8.99,$15.88
85.json,Walmart - Euro Pharm,Free delivery,$11.99,$12.71
85.json,Bealls Florida,Delivery date & cost shown at checkout,LOW PRICE$7.19$8.99,$7.62+Shipping
85.json,eBay,"Free delivery by Wed, May 18",$11.99,$12.71
85.json,ihealthee,Free delivery,$12.40,$13.14
85.json,Raj Pharmacies,465.7 mi · In stock at RumsonToday: 9:00 AM - 7:00 PM,$10.99,$10.99+Tax
85.json,goodholidayprice,"Free delivery by Tue, May 17",$22.35,$22.35
85.json,ibeautistore,"Free delivery by Sun, May 22",$20.26,$20.26
