File Name,Title,Price,Rating,ReviewCount,Links,OpeningClosing,Address
1.json,Tarte cosmetics Adelaine Morin Eye & Cheek Palette,$32.00,Rated 4.8 out of 5,697,N/A,,
1.json,Tarte Adelaine Morin Palette - Beauty | Color: Yellow,$17.00,N/A,N/A,N/A,,
1.json,Tarte Makeup | Tarte Cosmetics X Adelaine Morin Palette | Color: Brown/Gold | Size: Os | Makeuplover42's Closet,$35.00,N/A,N/A,N/A,,
1.json,Tarte Adelaine Morin Tarte Eyeshadow And Face Palette - Beauty | Color: Yellow,$24.00,N/A,N/A,N/A,,
1.json,Tarte X Adelaine Morin Palette - New Beauty | Color: Orange,$21.00,N/A,N/A,N/A,,
1.json,Tarte X Adelaine Morin Palette - New Beauty | Color: Yellow,$35.00,N/A,N/A,N/A,,
1.json,N/A,N/A,N/A,N/A,N/A,,
1.json,Tarte and YouTuber Adelaine Morin Launch Eye & Cheek Palette | Allure,N/A,N/A,N/A,https://www.allure.com/story/tarte-beauty-youtuber-adelaine-morin-eye-cheek-palette-shop/amp,,
1.json,Tarte Adelaine Morin Eye & Cheek Eyeshadow Face Palette,N/A,N/A,N/A,https://www.amazon.com/product-reviews/B07SPFHDL5?reviewerType=all_reviews,,
1.json,Tarte Adelaine Morin Eye & Cheek Palette Review & Swatches,N/A,Rated 5.0 out of 5,N/A,https://www.musingsofamuse.com/2019/05/tarte-adelaine-morin-eye-cheek-palette-review-swatches.html,,
1.json,Tarte Adelaine Morin Eye & Cheek Palette | Glambot.com,$19.50,N/A,N/A,https://www.glambot.com/tarte-adelaine-morin-eye-cheek-palette,,
1.json,Adelaine Morin eye & cheek palette | Tarte Cosmetics - Pinterest,N/A,N/A,N/A,https://www.pinterest.com/pin/572731277610576155/,,
1.json,tarte Adelaine Morin Eye & Cheek Palette 100 Authentic - eBay,N/A,N/A,N/A,https://www.ebay.com/p/6031656313,,
1.json,Tarte x Adelaine Morin eye & cheek palette - Spell Magazine,N/A,N/A,N/A,https://www.spellmagazine.co.uk/posts/tarte-x-adelaine-morin-eye-cheek-palette,,
1.json,N/A,,N/A,N/A,,N/A,N/A
2.json,Maybelline Instant Age Rewind Eraser Dark Circles,$8.49,Rated 4.5 out of 5,9k+,N/A,,
2.json,NARS Radiant Creamy Concealer,$31.00,Rated 4.5 out of 5,9k+,N/A,,
2.json,tarte Shape Tape Contour Concealer,$30.00,Rated 4.7 out of 5,9k+,https://www.kryzuy.com/best-non-comedogenic-concealer/,,
2.json,IT Cosmetics Bye Bye Under Eye Anti-Aging Concealer,$21.75,Rated 4.2 out of 5,9k+,N/A,,
2.json,Tarte Shape Tape Concealer,$30.00,Rated 4.7 out of 5,9k+,N/A,,
2.json,Maybelline Fit Me Concealer,$8.49,Rated 4.4 out of 5,9k+,http://www.midorikittykitty.com/review-maybelline-fit-me-concealer-in-10-light/,,
2.json,Dior Forever Skin Correct,$36.00,Rated 4.6 out of 5,9k+,N/A,,
2.json,NARS Soft Matte Complete Concealer,$30.00,Rated 4.6 out of 5,7k+,https://reallyree.com/nars-soft-matte-complete-concealer-review-swatches-shades/,,
2.json,Fenty Beauty by Rihanna Pro Filt'r Instant Retouch Concealer - 400,$28.00,Rated 4.3 out of 5,7k+,https://www.kryzuy.com/best-non-comedogenic-concealer/,,
2.json,Hourglass Cosmetics Vanish Airbrush Concealer,$36.00,Rated 4.3 out of 5,1k+,N/A,,
2.json,e.l.f. 16HR Camo Concealer,$5.83,Rated 4.4 out of 5,9k+,https://essiebutton.com/tarte-shape-tape-concealer-dupes/,,
2.json,YSL Touche Éclat High Cover,$38.00,Rated 4.5 out of 5,9k+,N/A,,
2.json,Lancome Teint Idole Ultra Wear All Over Concealer,$21.75,Rated 4.6 out of 5,5k+,https://www.kohls.com/product/prd-5128591/lancome-teint-idole-ultra-wear-all-over-full-coverage-concealer.jsp,,
2.json,"Maybelline Eraser Eye Concealer, Light",$7.58,Rated 4.5 out of 5,9k+,https://www.rd.com/article/maybelline-instant-age-rewind-eraser/,,
2.json,Too Faced Born This Way Super Coverage,$16.00,Rated 4.6 out of 5,9k+,https://www.finder.com.au/best-concealer,,
2.json,Rare Beauty by Selena Gomez Liquid Touch Brightening Concealer,$19.00,Rated 4.4 out of 5,3k+,https://weareglamerus.com/review-rare-beauty-liquid-touch-brightening-concealer/,,
2.json,Glossier Stretch Concealer,$18.00,Rated 4.1 out of 5,2k+,https://www.byrdie.com/glossier-makeup-review,,
