Index,Fields,Values
1.1.1,Title,Tarte cosmetics Adelaine Morin Eye & Cheek Palette
1.2.1,Title,Tarte Adelaine Morin Palette - Beauty | Color: Yellow
1.3.1,Title,Tarte Makeup | Tarte Cosmetics X Adelaine Morin Palette | Color: Brown/Gold | Size: Os | Makeuplover42's Closet
1.4.1,Title,Tarte Adelaine Morin Tarte Eyeshadow And Face Palette - Beauty | Color: Yellow
1.5.1,Title,Tarte X Adelaine Morin Palette - New Beauty | Color: Orange
1.6.1,Title,Tarte X Adelaine Morin Palette - New Beauty | Color: Yellow
1.7.1,Title,Tarte and YouTuber Adelaine Morin Launch Eye & Cheek Palette | Allure
1.8.1,Title,Tarte Adelaine Morin Eye & Cheek Eyeshadow Face Palette
1.9.1,Title,Tarte Adelaine Morin Eye & Cheek Palette Review & Swatches
1.10.1,Title,Tarte Adelaine Morin Eye & Cheek Palette | Glambot.com
1.11.1,Title,Adelaine Morin eye & cheek palette | Tarte Cosmetics - Pinterest
1.12.1,Title,tarte Adelaine Morin Eye & Cheek Palette 100 Authentic - eBay
1.13.1,Title,Tarte x Adelaine Morin eye & cheek palette - Spell Magazine
1.1.2,Price,$32.00
1.2.2,Price,$17.00
1.3.2,Price,$35.00
1.4.2,Price,$24.00
1.5.2,Price,$21.00
1.6.2,Price,$35.00
1.7.2,Price,N/A
1.8.2,Price,N/A
1.9.2,Price,N/A
1.10.2,Price,$19.50
1.11.2,Price,N/A
1.12.2,Price,N/A
1.13.2,Price,N/A
1.1.3,Rating,Rated 4.8 out of 5
1.2.3,Rating,N/A
1.3.3,Rating,N/A
1.4.3,Rating,N/A
1.5.3,Rating,N/A
1.6.3,Rating,N/A
1.7.3,Rating,N/A
1.8.3,Rating,N/A
1.9.3,Rating,Rated 5.0 out of 5
1.10.3,Rating,N/A
1.11.3,Rating,N/A
1.12.3,Rating,N/A
1.13.3,Rating,N/A
1.1.4,Rating Count,697
1.2.4,Rating Count,N/A
1.3.4,Rating Count,N/A
1.4.4,Rating Count,N/A
1.5.4,Rating Count,N/A
1.6.4,Rating Count,N/A
1.7.4,Rating Count,N/A
1.8.4,Rating Count,N/A
1.9.4,Rating Count,N/A
1.10.4,Rating Count,N/A
1.11.4,Rating Count,N/A
1.12.4,Rating Count,N/A
1.13.4,Rating Count,N/A
1.1.5,Links,N/A
1.2.5,Links,N/A
1.3.5,Links,N/A
1.4.5,Links,N/A
1.5.5,Links,N/A
1.6.5,Links,N/A
1.7.5,Links,https://www.allure.com/story/tarte-beauty-youtuber-adelaine-morin-eye-cheek-palette-shop/amp
1.8.5,Links,https://www.amazon.com/product-reviews/B07SPFHDL5?reviewerType=all_reviews
1.9.5,Links,https://www.musingsofamuse.com/2019/05/tarte-adelaine-morin-eye-cheek-palette-review-swatches.html
1.10.5,Links,https://www.glambot.com/tarte-adelaine-morin-eye-cheek-palette
1.11.5,Links,https://www.pinterest.com/pin/572731277610576155/
1.12.5,Links,https://www.ebay.com/p/6031656313
1.13.5,Links,https://www.spellmagazine.co.uk/posts/tarte-x-adelaine-morin-eye-cheek-palette
1.1.6,Category,Popular
1.2.6,Category,Popular
1.3.6,Category,Popular
1.4.6,Category,Popular
1.5.6,Category,Popular
1.6.6,Category,Popular
1.7.6,Category,Organic
1.8.6,Category,Organic
1.9.6,Category,Organic
1.10.6,Category,Organic
1.11.6,Category,Organic
1.12.6,Category,Organic
1.13.6,Category,Organic
2.1.1,Title,Maybelline Instant Age Rewind Eraser Dark Circles
2.2.1,Title,NARS Radiant Creamy Concealer
2.3.1,Title,tarte Shape Tape Contour Concealer
2.4.1,Title,IT Cosmetics Bye Bye Under Eye Anti-Aging Concealer
2.5.1,Title,Tarte Shape Tape Concealer
2.6.1,Title,Maybelline Fit Me Concealer
2.7.1,Title,Dior Forever Skin Correct
2.8.1,Title,NARS Soft Matte Complete Concealer
2.9.1,Title,Fenty Beauty by Rihanna Pro Filt'r Instant Retouch Concealer - 400
2.10.1,Title,Hourglass Cosmetics Vanish Airbrush Concealer
2.11.1,Title,e.l.f. 16HR Camo Concealer
2.12.1,Title,YSL Touche Éclat High Cover
2.13.1,Title,Lancome Teint Idole Ultra Wear All Over Concealer
2.14.1,Title,"Maybelline Eraser Eye Concealer, Light"
2.15.1,Title,Too Faced Born This Way Super Coverage
2.16.1,Title,Rare Beauty by Selena Gomez Liquid Touch Brightening Concealer
2.17.1,Title,Glossier Stretch Concealer
2.18.1,Title,Charlotte Tilbury Magic Away Concealer
2.19.1,Title,Mac Pro Longwear Concealer Nw20 - Pack of 2
2.20.1,Title,Laura Mercier Flawless Fusion Ultra-Longwear Concealer
2.21.1,Title,PAT McGRATH LABS Sublime Perfection Concealer
2.22.1,Title,Giorgio Armani Luminous Silk Concealer
2.23.1,Title,L'Oreal Paris Infallible Full Wear Concealer
2.24.1,Title,Kosas Revealer Super Creamy + Brightening Concealer
2.25.1,Title,Estée Lauder Double Wear Stay-in-Place Flawless Wear Concealer
2.26.1,Title,Anastasia Beverly Hills Magic Touch Concealer
2.27.1,Title,e.l.f. 16hr Camo Concealer
2.28.1,Title,ILIA True Skin Serum Concealer
2.29.1,Title,Beauty Bakerie Instabake 3 in 1 Concealer
2.30.1,Title,MAKE UP FOR EVER Ultra HD Concealer
2.31.1,Title,NARS Mini Radiant Creamy Concealer - Custard
2.32.1,Title,NARS Mini Radiant Creamy Concealer Custard 0.05 oz - mini/ 1.4 g
2.33.1,Title,These 16 Best Concealers That Go Beyond Hiding Dark Circles - Byrdie
2.34.1,Title,"The 20 Best Concealers, According to Makeup Artists 2022 | SELF"
2.35.1,Title,The Concealer That Hides Everything Yet Looks Like Bare Skin
2.36.1,Title,11 hydrating concealers makeup artists swear by for dry skin - TODAY
2.37.1,Title,Best Concealers in 2022 | Sephora
2.38.1,Title,The 11 best concealers we've tested for covering dark circles and blemishes
2.39.1,Title,"13 Best Concealers in 2022, According to Makeup Artists, DJs, and Beauty ..."
2.1.2,Price,$8.49
2.2.2,Price,$31.00
2.3.2,Price,$30.00
2.4.2,Price,$21.75
2.5.2,Price,$30.00
2.6.2,Price,$8.49
2.7.2,Price,$36.00
2.8.2,Price,$30.00
2.9.2,Price,$28.00
2.10.2,Price,$36.00
2.11.2,Price,$5.83
2.12.2,Price,$38.00
2.13.2,Price,$21.75
2.14.2,Price,$7.58
2.15.2,Price,$16.00
2.16.2,Price,$19.00
2.17.2,Price,$18.00
2.18.2,Price,$32.00
2.19.2,Price,$28.00
2.20.2,Price,$10.00
2.21.2,Price,$31.50
2.22.2,Price,$38.00
2.23.2,Price,$13.99
2.24.2,Price,$28.00
2.25.2,Price,$30.00
2.26.2,Price,$29.00
2.27.2,Price,$7.00
